date,state,elderly_mode,school_mode,masking_mode,unweighted_ili,flu_av7,flu_per_cap_av7,mask_av7,rr_av7,gp_av7,park_av7,transit_av7,work_av7,resid_av7
2019-12-01,NV,,,,2.78099,,,,,,,,,
2019-12-01,NH,,,,0.645161,,,,,,,,,
2019-12-01,NJ,,,,3.794680000000001,,,,,,,,,
2019-12-01,NM,,,,3.87798,,,,,,,,,
2019-12-01,NY,,,,1.94173,,,,,,,,,
2019-12-01,NC,,,,2.1417,,,,,,,,,
2019-12-01,ND,,,,2.2337700000000003,,,,,,,,,
2019-12-01,OH,,,,1.10549,,,,,,,,,
2019-12-01,OK,,,,3.64786,,,,,,,,,
2019-12-01,OR,,,,2.62113,,,,,,,,,
2019-12-01,PA,,,,1.89246,,,,,,,,,
2019-12-01,RI,,,,0.8841889999999999,,,,,,,,,
2019-12-01,SC,,,,4.93698,,,,,,,,,
2019-12-01,SD,,,,1.69157,,,,,,,,,
2019-12-01,TN,,,,5.53605,,,,,,,,,
